"","SMILES1","SMILES2","Similarity","Activity.Difference","Max.Values","SALI"
"CHEMBL369979_CHEMBL202007","C=CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O","C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C\F)C1CC[C@@H]2O",0.97142857,2.21," 7.96","77.3499961325003"
"CHEMBL369979_CHEMBL392000","C=CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O","C=CC[C@@H]1C2=CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](O)CC[C@@H]34)[C@@]2(C=C)CC[C@@H]1O",0.98550725,2.07," 7.82","142.830035707508"
"CHEMBL369991_CHEMBL202007","CC/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12","C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C\F)C1CC[C@@H]2O",0.97142857,2.54," 7.96","88.8999955550004"
"CHEMBL369991_CHEMBL246138","CC/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12","C=C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12",1,2.06," 7.48","206"
"CHEMBL369991_CHEMBL373019","CC/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12","C=C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O",1,2.06," 7.48","206"
"CHEMBL369991_CHEMBL382097","CC/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12","CC[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12",0.98529412,2.06," 7.48","140.080022412804"
"CHEMBL369991_CHEMBL392000","CC/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12","C=CC[C@@H]1C2=CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](O)CC[C@@H]34)[C@@]2(C=C)CC[C@@H]1O",0.98550725,2.4," 7.82","165.60004140001"
"CHEMBL3706906_CHEMBL391798","CCNc1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1","O=c1ccc2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1",0.95394737,2.04," 9.00","44.2971443759021"
"CHEMBL390728_CHEMBL27297","CCC1CCNc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21","CCC1CCNc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C",0.95061728,2.57," 7.70","52.0424958366003"
"CHEMBL390728_CHEMBL3706874","CCC1CCNc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21","CCC1CCc2cc3c(C(F)(F)F)cc(=O)[nH]c3cc2N1",0.98734177,2.72," 7.85","214.879963470406"
"CHEMBL390728_CHEMBL3706875","CCC1CCNc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21","CCCNc1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1",0.9556962,2.37," 7.50","53.4942826574696"
"CHEMBL390728_CHEMBL3706878","CCC1CCNc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21","CCNc1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1",0.9556962,2.33," 7.46","52.5914255662043"
"CHEMBL390728_CHEMBL3706879","CCC1CCNc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21","CCCCNc1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1",0.9556962,2.04," 7.17","46.0457116545308"
"CHEMBL390728_CHEMBL3706899","CCC1CCNc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21","CCC(C)c1cc2c(C(F)(F)F)cc(=O)[nH]c2cc1N",0.95541401,2.72," 7.85","61.0057105382207"
"CHEMBL391549_CHEMBL391548","N#Cc1ccc(-c2cccc(O)c2)cc1C(F)(F)F","N#Cc1ccc(-c2ccccc2O)cc1C(F)(F)F",0.96190476,4.06,"10.70","106.57499467125"
"CHEMBL3926496_CHEMBL3658376","C[C@@]12CCC(=O)C=C1[C@H]1C[C@H]1[C@H]1[C@H]2CC[C@]2(C)[C@@H]1[C@H]1C[C@H]1[C@]21CCC(=O)O1","C[C@]12CCC3C4CCC(=O)C=C4CCC3C1C1CC1[C@@]21CCC(=O)O1",0.97619048,2.02," 8.22","84.8400135744021"
"CHEMBL4080698_CHEMBL4068562","N#CCn1c(C#N)ccc1-c1ccc(O)cc1F","Cn1c(C#N)ccc1-c1ccc(O)c(F)c1",0.98648649,2.01," 7.23","148.74003867241"
"CHEMBL4080698_CHEMBL4069026","N#CCn1c(C#N)ccc1-c1ccc(O)cc1F","Cn1c(C#N)ccc1-c1ccc(O)c(F)c1F",0.97315436,2.21," 7.43","82.3224925909757"
"CHEMBL4080698_CHEMBL4087256","N#CCn1c(C#N)ccc1-c1ccc(O)cc1F","Cn1c(C#N)ccc1-c1ccc(O)cc1",0.96621622,2.98," 8.20","88.208009879297"
"CHEMBL4080698_CHEMBL4088572","N#CCn1c(C#N)ccc1-c1ccc(O)cc1F","Cn1c(-c2ccc(O)cc2)cc(C(F)(F)F)c1C#N",0.96666667,2.74," 7.96","82.2000082200007"
"CHEMBL4080698_CHEMBL4095364","N#CCn1c(C#N)ccc1-c1ccc(O)cc1F","Cn1c(C#N)ccc1-c1c(F)cc(O)cc1F",0.97986577,3.58," 8.80","177.806650664068"
"CHEMBL4080698_CHEMBL4095883","N#CCn1c(C#N)ccc1-c1ccc(O)cc1F","Cn1c(C#N)ccc1-c1ccc(O)cc1F",0.98648649,3.27," 8.49","241.980062914816"
"CHEMBL4082265_CHEMBL4063939","C[C@@H]1[C@H](O)C(C)(C)C(=O)N1c1ccc(C#N)c(Cl)c1","C[C@H]1[C@@H](O)C(F)(F)C(=O)N1c1ccc(C#N)c(Cl)c1",0.95683453,3.78," 8.96","87.5699951836502"
"CHEMBL4082265_CHEMBL4067691","C[C@@H]1[C@H](O)C(C)(C)C(=O)N1c1ccc(C#N)c(Cl)c1","CC[C@H]1[C@H](O)CC(=O)N1c1ccc(C#N)c(Cl)c1",0.97080292,3.29," 8.47","112.682501126825"
